,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
0,0,1,0,1,0,0,9.92
1,0,2,0,0,0,0,8.5
2,0,3,0,0,0,0,7.69
3,0,4,0,0,0,0,6.77
4,0,5,0,0,0,0,4.91
5,0,6,0,1,0,0,3.18
6,0,7,0,1,0,0,1.37
7,0,8,0,0,0,0,0.51
8,0,9,0,0,0,0,0.07
9,1,1,0,1,0,0,10.09
10,1,2,0,1,0,0,8.57
11,1,3,0,0,0,0,7.73
12,1,4,0,0,0,0,6.89
13,1,5,0,0,0,0,5.26
14,1,6,0,0,0,0,3.48
15,1,7,0,0,0,0,1.54
16,1,8,0,0,0,0,0.57
17,1,9,0,0,0,0,-0.04
18,2,1,0,1,0,0,10.02
19,2,2,0,0,0,0,8.45
20,2,3,0,0,0,0,7.62
21,2,4,0,0,0,0,6.71
22,2,5,0,0,0,0,5.07
23,2,6,0,0,0,0,3.05
24,2,7,0,1,0,0,1.53
25,2,8,0,1,0,0,0.66
26,2,9,0,1,0,0,0.0
27,3,1,0,0,0,0,9.71
28,3,2,0,0,0,0,8.27
29,3,3,0,0,0,0,7.54
30,3,4,0,0,0,0,6.74
31,3,5,0,0,0,0,5.09
32,3,6,0,1,0,0,2.89
33,3,7,0,1,0,0,1.43
34,3,8,0,1,0,0,0.45
35,3,9,0,1,0,0,-0.32
36,4,1,0,0,0,0,9.74
37,4,2,0,0,0,0,8.31
38,4,3,0,0,0,0,7.57
39,4,4,0,0,0,0,6.71
40,4,5,0,0,0,0,5.06
41,4,6,0,1,0,0,2.71
42,4,7,0,1,0,0,1.2
43,4,8,0,0,0,0,0.26
44,4,9,0,1,0,0,-0.37
45,5,1,0,0,0,0,9.59
46,5,2,0,0,0,0,8.26
47,5,3,0,0,0,0,7.54
48,5,4,0,0,0,0,6.39
49,5,5,0,0,0,0,4.12
50,5,6,0,0,0,0,1.85
51,5,7,0,1,0,0,0.75
52,5,8,0,1,0,0,-0.14
53,5,9,0,1,0,0,-0.65
54,6,1,0,0,0,0,9.89
55,6,2,0,0,0,0,8.39
56,6,3,0,0,0,0,7.59
57,6,4,0,0,0,0,6.6
58,6,5,0,0,0,0,4.6
59,6,6,0,0,0,0,2.2
60,6,7,0,1,0,0,0.96
61,6,8,0,1,0,0,0.04
62,6,9,0,1,0,0,-0.58
63,7,1,0,1,0,0,9.99
64,7,2,0,1,0,0,8.62
65,7,3,0,1,0,0,7.88
66,7,4,0,0,0,0,7.16
67,7,5,0,0,0,0,5.6
68,7,6,0,1,0,0,3.51
69,7,7,0,0,0,0,1.36
70,7,8,0,0,0,0,0.18
71,7,9,0,0,0,0,-0.36
72,8,1,0,0,0,0,9.74
73,8,2,0,0,0,0,8.49
74,8,3,0,0,0,0,7.82
75,8,4,0,0,0,0,6.77
76,8,5,0,0,0,0,4.86
77,8,6,0,0,0,0,2.53
78,8,7,0,0,0,0,0.77
79,8,8,0,0,0,0,0.1
80,8,9,0,0,0,0,-0.36
81,9,1,0,0,0,0,9.67
82,9,2,0,1,0,0,8.55
83,9,3,0,0,0,0,7.82
84,9,4,0,0,0,0,6.58
85,9,5,0,0,0,0,4.57
86,9,6,0,0,0,0,2.75
87,9,7,0,0,0,0,1.08
88,9,8,0,0,0,0,0.14
89,9,9,0,0,0,0,-0.34
90,10,1,0,0,0,0,9.47
91,10,2,0,0,0,0,8.42
92,10,3,0,0,0,0,7.73
93,10,4,0,0,0,0,6.19
94,10,5,0,0,0,0,3.9
95,10,6,0,0,0,0,2.25
96,10,7,0,0,0,0,1.03
97,10,8,0,0,0,0,0.24
98,10,9,0,0,0,0,-0.29
99,11,1,0,1,0,0,9.27
100,11,2,0,0,0,0,8.22
101,11,3,0,0,0,0,7.51
102,11,4,0,1,0,0,6.18
103,11,5,0,1,0,0,4.24
104,11,6,0,0,0,0,2.57
105,11,7,0,0,0,0,1.28
106,11,8,0,0,0,0,0.4
107,11,9,0,0,0,0,-0.05
108,12,1,0,0,0,0,9.49
109,12,2,0,0,0,0,8.19
110,12,3,0,0,0,0,7.47
111,12,4,0,0,0,0,6.36
112,12,5,0,0,0,0,4.29
113,12,6,0,0,0,0,2.18
114,12,7,0,0,0,0,0.76
115,12,8,0,0,0,0,0.03
116,12,9,0,0,0,0,-0.33
117,13,1,0,0,0,0,9.43
118,13,2,0,0,0,0,8.19
119,13,3,0,0,0,0,7.48
120,13,4,0,0,0,0,6.37
121,13,5,0,0,0,0,4.31
