time,rho,mean,sd,min,max
0,1,9.92,0.63,8.82,11.18
1,1,10.09,0.69,8.91,11.55
2,1,10.02,0.71,8.71,11.40
3,1,9.71,0.70,8.43,11.14
4,1,9.74,0.74,8.39,11.32
5,1,9.59,0.71,8.26,11.12
6,1,9.89,0.73,8.42,11.42
7,1,9.99,0.66,8.64,11.40
8,1,9.74,0.63,8.49,11.06
9,1,9.67,0.62,8.50,10.98
10,1,9.47,0.61,8.38,10.81
11,1,9.27,0.59,8.27,10.59
12,1,9.49,0.68,8.14,10.83
13,1,9.43,0.67,8.14,10.77
14,1,9.54,0.71,8.11,10.92
15,1,9.52,0.69,8.21,10.95
16,1,9.51,0.67,8.21,10.87
17,1,9.44,0.66,8.15,10.78
18,1,9.49,0.63,8.29,10.71
19,1,9.58,0.60,8.45,10.76
20,1,9.64,0.59,8.58,10.85
21,1,9.41,0.56,8.44,10.58
22,1,9.44,0.50,8.47,10.44
23,1,9.42,0.46,8.50,10.29
24,1,9.31,0.49,8.28,10.32
25,1,9.42,0.51,8.42,10.49
26,1,9.20,0.56,8.18,10.46
27,1,9.19,0.61,8.13,10.55
28,1,9.09,0.61,8.01,10.42
29,1,9.25,0.65,8.04,10.58
30,1,9.37,0.66,8.15,10.77
31,1,9.36,0.64,8.13,10.78
32,1,9.45,0.59,8.27,10.55
33,1,9.46,0.59,8.19,10.54
34,1,9.64,0.62,8.30,10.83
35,1,9.73,0.67,8.38,11.01
36,1,9.80,0.67,8.64,11.14
37,1,9.93,0.69,8.57,11.25
38,1,10.06,0.67,8.72,11.28
39,1,9.96,0.61,8.80,10.97
40,1,9.93,0.58,8.87,10.92
41,1,9.99,0.59,8.88,11.03
42,1,9.88,0.60,8.68,10.93
43,1,9.96,0.59,8.82,11.06
44,1,9.84,0.58,8.63,10.87
45,1,9.66,0.58,8.45,10.72
46,1,9.52,0.62,8.22,10.78
47,1,9.61,0.66,8.27,10.95
48,1,9.55,0.65,8.33,10.81
49,1,9.52,0.67,8.26,10.79
50,1,9.43,0.66,8.24,10.66
51,1,9.39,0.61,8.32,10.44
52,1,9.35,0.60,8.35,10.41
53,1,9.47,0.63,8.37,10.50
54,1,9.48,0.60,8.41,10.54
55,1,9.35,0.57,8.24,10.51
56,1,9.17,0.58,8.03,10.35
57,1,9.20,0.60,8.02,10.49
58,1,9.37,0.69,8.09,10.78
59,1,9.31,0.61,8.06,10.49
60,1,9.34,0.57,8.11,10.34
61,1,9.56,0.59,8.33,10.70
62,1,9.59,0.58,8.41,10.77
63,1,9.69,0.59,8.45,10.90
64,1,9.63,0.62,8.33,10.94
65,1,9.80,0.68,8.27,11.15
66,1,9.71,0.68,8.35,11.13
67,1,9.61,0.71,8.18,11.10
68,1,9.76,0.74,8.20,11.31
69,1,9.50,0.69,8.14,10.98
70,1,9.58,0.68,8.21,10.99
71,1,9.45,0.65,8.18,10.85
72,1,9.65,0.68,8.19,11.00
73,1,9.29,0.61,8.08,10.52
74,1,9.22,0.57,8.09,10.32
75,1,9.36,0.59,8.16,10.41
76,1,9.33,0.63,8.13,10.53
77,1,9.44,0.59,8.26,10.49
78,1,9.30,0.57,8.17,10.33
79,1,9.34,0.57,8.22,10.33
80,1,9.36,0.61,8.24,10.55
81,1,9.47,0.58,8.37,10.69
82,1,9.32,0.53,8.27,10.25
83,1,9.44,0.54,8.32,10.50
84,1,9.39,0.62,8.25,10.79
85,1,9.44,0.57,8.35,10.60
86,1,9.47,0.56,8.41,10.58
87,1,9.66,0.60,8.51,10.84
88,1,9.61,0.64,8.37,11.10
89,1,9.85,0.76,8.35,11.58
90,1,9.88,0.73,8.52,11.56
91,1,9.79,0.63,8.61,11.30
92,1,9.82,0.65,8.64,11.33
93,1,9.44,0.63,8.37,11.03
94,1,10.02,0.67,8.85,11.38
95,1,10.11,0.75,8.68,11.60
96,1,9.82,0.63,8.62,10.96
