time,rho1,rho2,rho3,rho4,rho5,rho6,rho7,rho8,rho9
0,2,2,3,3,3,2,2,1,1
1,3,3,3,3,3,3,2,2,2
2,3,2,3,3,3,2,2,2,2
3,2,1,2,3,3,2,2,1,1
4,2,2,2,3,3,2,2,1,1
5,2,1,2,3,2,2,1,1,1
6,2,2,3,3,2,2,1,1,1
7,3,3,3,3,3,3,2,1,1
8,2,2,3,3,3,2,1,1,1
9,2,3,3,3,2,2,2,1,1
10,1,2,3,2,2,2,1,1,1
11,1,1,2,2,2,2,1,1,1
12,1,1,2,2,2,2,1,1,1
13,1,1,2,2,2,1,1,1,1
14,2,1,2,3,2,1,1,1,1
15,2,1,2,3,3,2,1,1,1
16,2,2,3,3,3,2,1,1,1
17,1,1,2,3,2,1,1,1,1
18,2,1,2,3,3,1,1,1,1
19,2,2,3,3,3,3,3,1,1
20,2,2,3,3,3,3,3,1,1
21,1,2,3,3,3,3,3,1,1
22,1,2,3,3,3,3,1,1,1
23,1,2,3,3,3,3,1,1,1
24,1,2,3,3,2,2,1,1,1
25,1,2,3,3,3,3,3,3,3
26,1,1,2,2,2,2,1,1,1
27,1,1,2,2,2,3,3,1,1
28,1,1,2,2,2,3,3,1,1
29,1,1,2,2,2,3,3,3,3
30,1,1,2,3,3,3,3,2,2
31,1,1,2,3,3,3,3,2,2
32,1,2,3,3,3,3,3,3,3
33,1,2,3,3,3,3,3,2,2
34,2,2,2,3,3,3,3,1,1
35,2,2,3,3,3,3,1,1,1
36,2,2,3,3,3,3,3,1,1
37,3,2,3,3,3,3,2,1,1
38,3,3,3,3,3,3,1,1,1
39,3,3,3,3,3,3,2,1,1
40,3,3,3,3,3,3,2,1,1
41,3,3,3,3,3,3,3,1,1
42,2,3,3,3,3,3,3,1,1
43,3,3,3,3,3,3,3,1,1
44,2,3,3,3,3,3,3,2,2
45,2,2,3,3,3,3,3,2,2
46,2,2,3,3,3,3,3,3,3
47,2,2,3,3,3,3,3,3,3
48,2,1,2,3,3,3,3,3,3
49,2,1,2,3,3,3,3,3,3
50,1,1,2,2,2,3,3,3,3
51,1,1,2,2,2,3,3,3,3
52,1,1,2,2,2,3,3,3,3
53,1,1,2,2,2,3,3,3,3
54,1,1,2,2,2,2,3,3,3
55,1,1,2,2,2,3,3,3,3
56,1,1,2,2,2,3,3,3,3
57,1,1,2,2,2,3,3,3,3
58,1,1,2,2,2,3,3,3,3
59,1,1,2,2,2,3,3,3,3
60,1,1,2,2,2,3,3,3,3
61,2,2,3,3,3,3,3,3,3
62,2,2,3,3,3,3,2,3,3
63,2,2,3,3,2,2,2,2,2
64,2,2,2,2,2,3,2,2,2
65,2,2,2,3,3,3,3,3,3
66,2,2,2,2,2,2,2,2,2
67,2,1,2,2,2,2,2,2,2
68,2,1,2,2,2,1,1,1,1
